epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.2155,0.45395,3.93803,0.89265,0.08167,0.13619,0.02488,0.02287,0.28407,3.98414,0.78935,0.000165593,0.000165593,0.000165593
2,142.175,0.30363,3.53853,0.84135,0.0562,0.86667,0.10304,0.09744,0.27918,3.90778,0.79095,0.000273423,0.000273423,0.000273423
3,213.584,0.2834,3.2721,0.83559,0.03864,0.86667,0.10812,0.10368,0.27517,3.6575,0.78879,0.000311821,0.000311821,0.000311821
4,289.937,0.26565,3.02047,0.83501,0.0622,0.99048,0.2115,0.20818,0.24692,3.41468,0.78059,0.000213556,0.000213556,0.000213556
5,370.723,0.25962,2.92363,0.84287,0.04555,1,0.30253,0.30253,0.18037,3.24424,0.77741,0.000109408,0.000109408,0.000109408
